#time,accel_x,accel_y,accel_z
881.000034,1036.288319,592.164754,-74311.263306
881.002463,740.205942,444.123565,-74464.482406
881.004893,444.123565,-296.082377,-74464.482406
881.007322,296.082377,592.164754,-73698.386908
881.009752,-148.041188,12879.583391,-73851.606007
881.012181,11991.336260,8586.388927,-71859.757712
881.014611,26795.455100,-12583.501014,-70787.224015
881.017040,21614.013506,-17172.777854,-74464.482406
881.019470,-1332.370696,-4737.318029,-77528.864398
881.021899,-14211.954086,3849.070898,-77375.645298
881.024329,-1628.453072,7698.141797,-76149.892501
881.026758,5921.647536,2368.659014,-74311.263306
881.029188,4737.318029,-3404.947333,-76303.111601
881.031617,-296.082377,-148.041188,-77069.207099
881.034047,-19097.313304,2220.617826,-77528.864398
881.036476,8142.265362,2516.700203,-73238.729609
881.038906,296.082377,3552.988522,-75383.797003
881.041335,1332.370696,-592.164754,-75537.016103
881.043765,14359.995275,-5773.606348,-75996.673402
881.046194,-3108.864956,4589.276840,-76609.549800
881.048624,5477.523971,4589.276840,-75690.235202
881.051053,1776.494261,5477.523971,-74464.482406
881.053483,3552.988522,444.123565,-72625.853210
881.055912,-7254.018232,2220.617826,-75996.673402
881.058342,888.247130,7846.182985,-77528.864398
881.060771,-17024.736666,13471.748144,-79214.274493
881.063201,3849.070898,5625.565159,-74311.263306
881.065630,8882.471304,-3552.988522,-72932.291410
881.068060,10807.006753,10658.965565,-71859.757712
881.070489,6365.771101,4737.318029,-73545.167808
881.072919,28868.031738,-7994.224174,-72166.195912
881.075348,21169.889941,-5625.565159,-73238.729609
881.077778,5033.400406,-10510.924376,-76609.549800
881.080112,-13027.624579,-2516.700203,-76762.768900
881.082447,-14952.160028,6661.853478,-76609.549800
881.084782,-7698.141797,13767.830521,-75077.358804
881.087116,9770.718434,10807.006753,-75996.673402
881.089451,10510.924376,6217.729913,-76149.892501
881.091786,-3404.947333,1184.329507,-77988.521696
881.094121,-12287.418637,-1480.411884,-78448.178995
881.096455,1480.411884,-1776.494261,-74464.482406
881.098790,2664.741391,4293.194464,-74924.139704
881.101125,296.082377,296.082377,-77069.207099
881.103460,-2516.700203,5033.400406,-78907.836294
881.105794,14952.160028,1480.411884,-75843.454302
881.108129,14508.036463,-1776.494261,-74004.825107
881.110464,12139.377449,6069.688724,-74617.701505
881.112798,148.041188,13619.789333,-75996.673402
881.115133,4885.359217,1332.370696,-75537.016103
881.117468,3701.029710,-5477.523971,-76609.549800
881.119803,-5625.565159,5477.523971,-74004.825107
881.122137,-9474.636058,-9030.512492,-75383.797003
881.124472,-13619.789333,-5033.400406,-75690.235202
881.126807,-2812.782580,3404.947333,-74464.482406
881.129141,11843.295072,888.247130,-73085.510509
881.131476,3256.906145,-8290.306550,-74158.044206
881.133811,4293.194464,-2812.782580,-75996.673402
881.136146,-3552.988522,-3108.864956,-76303.111601
881.138480,7254.018232,1036.288319,-76609.549800
881.140815,-16580.613101,1924.535449,-77375.645298
881.143150,-6661.853478,-2960.823768,-76456.330700
881.145484,-10807.006753,-740.205942,-77528.864398
881.147819,4441.235652,-1924.535449,-75690.235202
881.150154,-1036.288319,740.205942,-75690.235202
881.152489,-2368.659014,9770.718434,-76456.330700
881.154823,14952.160028,-4293.194464,-74004.825107
881.157158,10362.883188,-3404.947333,-73085.510509
881.159493,-888.247130,-15396.283594,-74464.482406
881.161827,-14508.036463,-8438.347739,-77069.207099
881.164162,-30940.608376,12287.418637,-78754.617194
881.166497,-11547.212695,3997.112087,-77375.645298
881.168832,2220.617826,296.082377,-75843.454302
881.171166,-11843.295072,7846.182985,-75383.797003
881.173469,-7846.182985,2812.782580,-75996.673402
881.175768,-14359.995275,18505.148550,-76456.330700
881.178068,-14359.995275,8882.471304,-75996.673402
881.180367,8438.347739,-888.247130,-75230.577904
881.182667,2516.700203,888.247130,-76149.892501
881.184966,-8290.306550,0.000000,-76456.330700
881.187266,-4589.276840,-4589.276840,-76609.549800
881.189565,3552.988522,-7254.018232,-75077.358804
881.191864,6365.771101,-10066.800811,-75690.235202
881.194164,-19393.395680,2220.617826,-77682.083497
881.196463,1036.288319,-592.164754,-76456.330700
881.198763,148.041188,-6365.771101,-75537.016103
881.201062,7550.100608,-14804.118840,-73698.386908
881.203361,-12139.377449,-592.164754,-76915.987999
881.205661,-10362.883188,3849.070898,-77375.645298
881.207960,0.000000,-5033.400406,-77222.426198
881.210260,4293.194464,14804.118840,-76609.549800
881.212559,21317.931130,12731.542202,-75077.358804
881.214859,8142.265362,7105.977043,-74311.263306
881.217158,12731.542202,-2220.617826,-73391.948708
881.219457,15396.283594,3701.029710,-76149.892501
881.221757,3256.906145,7402.059420,-77528.864398
881.224056,-2368.659014,9622.677246,-77835.302597
881.226356,13175.665768,740.205942,-75230.577904
881.228655,20281.642811,1184.329507,-73085.510509
881.230954,5773.606348,7698.141797,-72625.853210
881.233254,-1776.494261,6217.729913,-74464.482406
881.235553,3997.112087,2812.782580,-74464.482406
881.237853,10362.883188,-2516.700203,-72779.072310
881.240152,1924.535449,7402.059420,-73085.510509
881.242451,-5329.482782,3108.864956,-72779.072310
881.244751,15692.365970,-8290.306550,-70787.224015
881.247050,7846.182985,9030.512492,-71246.881314
881.249350,2516.700203,10214.842000,-72779.072310
881.251649,27239.578666,-5477.523971,-71400.100414
881.253949,18505.148550,-3997.112087,-71400.100414
881.256248,14359.995275,8438.347739,-70480.785816
881.258547,16580.613101,-2812.782580,-73238.729609
881.260847,15840.407159,-740.205942,-73851.606007
881.263146,888.247130,12139.377449,-76762.768900
881.265556,6365.771101,12139.377449,-77375.645298
881.267966,13027.624579,7402.059420,-74158.044206
881.270376,10658.965565,-1628.453072,-74311.263306
881.272785,-3256.906145,-1776.494261,-77682.083497
881.275195,-2960.823768,-148.041188,-77528.864398
881.277605,10214.842000,3552.988522,-76915.987999
881.280015,2664.741391,8586.388927,-76915.987999
881.282425,8290.306550,6661.853478,-77069.207099
881.284834,12287.418637,-148.041188,-76303.111601
881.287244,20725.766376,-2516.700203,-75077.358804
881.289654,6661.853478,7846.182985,-78141.740796
881.292064,-7254.018232,5181.441594,-77835.302597
881.294474,10362.883188,-592.164754,-75537.016103
881.296883,888.247130,1480.411884,-72932.291410
881.299293,-6069.688724,-9770.718434,-74464.482406
881.301703,-16876.695478,-2664.741391,-76149.892501
881.304113,7550.100608,-2812.782580,-75383.797003
881.306523,6809.894666,-444.123565,-75383.797003
881.308932,-8734.430116,888.247130,-76303.111601
881.311342,-3108.864956,2812.782580,-74617.701505
881.313752,-1480.411884,-2960.823768,-74924.139704
881.316162,7698.141797,-4737.318029,-74311.263306
881.318572,-13175.665768,592.164754,-75843.454302
881.320981,-12583.501014,-444.123565,-76149.892501
881.323391,-8734.430116,148.041188,-74770.920605
881.325801,888.247130,2072.576638,-72779.072310
881.328211,-3256.906145,3404.947333,-73851.606007
881.330621,1628.453072,-2664.741391,-75843.454302
881.333030,-5329.482782,148.041188,-75230.577904
881.335440,19689.478057,1628.453072,-74004.825107
881.337850,-4885.359217,-4589.276840,-75690.235202
881.340260,-20281.642811,14804.118840,-76762.768900
881.342670,-19393.395680,11251.130318,-78294.959896
