#time,accel_x,accel_y,accel_z
1746.288168,2220.617826,2812.782580,-75230.577904
1746.290719,2664.741391,3108.864956,-74770.920605
1746.293271,1776.494261,2960.823768,-75383.797003
1746.295823,1924.535449,3552.988522,-75077.358804
1746.298374,2368.659014,3404.947333,-74770.920605
1746.300926,2220.617826,2664.741391,-75077.358804
1746.303478,1184.329507,3108.864956,-74924.139704
1746.306029,2516.700203,3108.864956,-74924.139704
1746.308581,1036.288319,-13471.748144,-75843.454302
1746.311133,-2220.617826,-1924.535449,-76149.892501
1746.313684,-17764.942608,17172.777854,-77835.302597
1746.316236,-22206.178260,26943.496289,-76762.768900
1746.318787,-6809.894666,4737.318029,-75690.235202
1746.321339,9770.718434,-23538.548956,-75690.235202
1746.323891,2072.576638,1924.535449,-74464.482406
1746.326442,-7846.182985,12731.542202,-77835.302597
1746.328994,-3108.864956,6513.812290,-76456.330700
1746.331546,7402.059420,4589.276840,-72779.072310
1746.334097,15396.283594,3256.906145,-71706.538613
1746.336649,-1628.453072,-4589.276840,-76915.987999
1746.339201,-11991.336260,-3256.906145,-78294.959896
1746.341752,6809.894666,-1924.535449,-74311.263306
1746.344304,-2812.782580,13471.748144,-76303.111601
1746.346856,-13767.830521,14804.118840,-77682.083497
1746.349407,-592.164754,12731.542202,-73238.729609
1746.351959,4441.235652,2516.700203,-73545.167808
1746.354511,9178.553681,6069.688724,-74770.920605
1746.357062,-6809.894666,-4293.194464,-79367.493593
1746.359614,-10362.883188,13767.830521,-76149.892501
1746.362166,2072.576638,25167.002028,-72166.195912
1746.364717,-888.247130,13175.665768,-75537.016103
1746.367269,-5181.441594,22502.260637,-73238.729609
1746.369821,20429.683999,14211.954086,-72472.634111
1746.372372,21021.848753,16580.613101,-73391.948708
1746.374924,27979.784608,-296.082377,-70940.443115
1746.377475,39675.038491,3108.864956,-66343.870127
1746.380027,15100.201217,22354.219448,-70787.224015
1746.382579,-26055.249158,46336.891969,-77988.521696
1746.385130,-55515.445650,8438.347739,-87028.448573
1746.387682,-42043.697506,16432.571912,-84117.285680
1746.390232,-1332.370696,19541.436869,-73085.510509
1746.392782,38934.832549,31976.896694,-67109.965625
1746.395332,8586.388927,17616.901420,-72319.415011
1746.397882,-21762.054695,-2664.741391,-78448.178995
1746.400432,9178.553681,-9770.718434,-74464.482406
1746.402982,27683.702231,10066.800811,-73238.729609
1746.405532,-4145.153275,13471.748144,-76609.549800
1746.408083,-3404.947333,9474.636058,-72779.072310
1746.410633,13323.706956,12731.542202,-70327.566716
1746.413183,15396.283594,11695.253884,-73851.606007
1746.415733,8438.347739,-444.123565,-75383.797003
1746.418283,12139.377449,6069.688724,-74617.701505
1746.420833,4441.235652,6957.935855,-75077.358804
1746.423383,-6809.894666,11991.336260,-74311.263306
1746.425933,12583.501014,6217.729913,-70327.566716
1746.428483,18357.107362,-15248.242405,-72625.853210
1746.431033,-11103.089130,-2664.741391,-77682.083497
1746.433583,7105.977043,3552.988522,-75843.454302
1746.436133,16580.613101,-4589.276840,-74770.920605
1746.438683,-14508.036463,1628.453072,-75077.358804
1746.441233,-3997.112087,2072.576638,-73698.386908
1746.443783,14656.077652,10807.006753,-73545.167808
1746.446333,16284.530724,10066.800811,-75843.454302
1746.448883,-4737.318029,-2812.782580,-77528.864398
1746.451433,-14063.912898,9030.512492,-75230.577904
1746.453983,9770.718434,6957.935855,-72625.853210
1746.456534,20281.642811,-1924.535449,-71400.100414
1746.459084,4145.153275,-2368.659014,-74464.482406
1746.461634,740.205942,1184.329507,-76762.768900
1746.464184,7254.018232,6661.853478,-75077.358804
1746.466734,8142.265362,1332.370696,-75537.016103
1746.469284,-1332.370696,12139.377449,-72319.415011
1746.471834,-6809.894666,32421.020260,-75383.797003
1746.474384,-3256.906145,12731.542202,-77375.645298
1746.476934,-2812.782580,888.247130,-76915.987999
1746.479484,-16728.654289,6069.688724,-79214.274493
1746.482034,-20725.766376,-7550.100608,-77222.426198
1746.484584,-6957.935855,4293.194464,-75843.454302
1746.487134,-296.082377,-9474.636058,-78141.740796
1746.489684,-7550.100608,-2220.617826,-75537.016103
1746.492235,1332.370696,-7402.059420,-75537.016103
1746.494786,6069.688724,-1776.494261,-75537.016103
1746.497338,444.123565,3552.988522,-76303.111601
1746.499889,444.123565,-6365.771101,-74158.044206
1746.502440,22354.219448,-13619.789333,-72472.634111
1746.504991,2220.617826,-3552.988522,-75230.577904
1746.507542,-5773.606348,-4293.194464,-77528.864398
1746.510093,-19837.519246,-6513.812290,-77682.083497
1746.512645,12583.501014,5921.647536,-73391.948708
1746.515196,24130.713709,-8734.430116,-72472.634111
1746.517747,2368.659014,-10066.800811,-75843.454302
1746.520298,-21021.848753,-740.205942,-77528.864398
1746.522849,6809.894666,8734.430116,-73085.510509
1746.525400,17320.819043,11843.295072,-74464.482406
1746.527951,-19837.519246,888.247130,-78754.617194
1746.530503,12287.418637,11251.130318,-72625.853210
1746.533054,23538.548956,7402.059420,-73238.729609
1746.535605,-19541.436869,888.247130,-77682.083497
1746.538156,-17912.983796,16284.530724,-77835.302597
1746.540707,3997.112087,10955.047942,-74311.263306
1746.543258,28719.990550,296.082377,-71706.538613
1746.545810,9178.553681,4145.153275,-75690.235202
1746.548361,-11103.089130,2516.700203,-75996.673402
1746.550912,-6365.771101,6809.894666,-72625.853210
1746.553463,20873.807564,4737.318029,-72166.195912
1746.556014,8586.388927,-1776.494261,-77375.645298
1746.558565,-13619.789333,10955.047942,-77682.083497
1746.561116,-4885.359217,12583.501014,-72779.072310
1746.563668,10658.965565,25018.960840,-72319.415011
1746.566219,-1184.329507,17320.819043,-72166.195912
1746.568770,-3552.988522,17320.819043,-76915.987999
1746.571321,740.205942,11547.212695,-77528.864398
1746.573872,-5181.441594,-3404.947333,-78141.740796
1746.576423,-18801.230927,-6365.771101,-76762.768900
1746.578975,7105.977043,14952.160028,-72166.195912
1746.581526,-9030.512492,20577.725188,-75383.797003
1746.584077,-36418.132346,8882.471304,-82891.532884
1746.586628,-10658.965565,3108.864956,-76762.768900
1746.589179,19689.478057,13471.748144,-71859.757712
1746.591730,5181.441594,10955.047942,-74004.825107
1746.594283,-6513.812290,-3552.988522,-75230.577904
1746.596836,6661.853478,1776.494261,-73545.167808
1746.599389,740.205942,12139.377449,-75996.673402
1746.601942,-6809.894666,9918.759623,-77375.645298
1746.604495,-444.123565,16136.489536,-75537.016103
1746.607048,-148.041188,6809.894666,-74311.263306
1746.609600,7254.018232,1924.535449,-73391.948708
1746.612153,10362.883188,9030.512492,-73238.729609
1746.614706,-2812.782580,8142.265362,-75996.673402
1746.617259,-1480.411884,9326.594869,-74158.044206
1746.619812,23834.631332,-1480.411884,-71859.757712
1746.622365,9326.594869,-14211.954086,-75230.577904
1746.624918,-18949.272115,5033.400406,-76303.111601
1746.627471,13915.871710,5477.523971,-74158.044206
1746.630024,7105.977043,-3108.864956,-76609.549800
1746.632576,-17320.819043,-2664.741391,-77682.083497
1746.635129,-8586.388927,-1184.329507,-75690.235202
1746.637682,15396.283594,12287.418637,-73851.606007
1746.640235,2072.576638,1184.329507,-76609.549800
1746.642788,-8142.265362,-592.164754,-75996.673402
1746.645341,9770.718434,296.082377,-72319.415011
1746.647894,26055.249158,-4885.359217,-72472.634111
1746.650447,-6957.935855,-8438.347739,-76762.768900
1746.652999,-14063.912898,-3701.029710,-77528.864398
1746.655552,8290.306550,-5625.565159,-75996.673402
1746.658105,5625.565159,11547.212695,-75077.358804
1746.660658,-5329.482782,-7846.182985,-74770.920605
1746.663211,-6957.935855,54331.116143,-74924.139704
1746.665764,-9178.553681,28127.825796,-77988.521696
1746.668317,2812.782580,-3404.947333,-75996.673402
1746.670870,9918.759623,22798.343014,-74770.920605
1746.673422,2664.741391,13619.789333,-72166.195912
1746.675975,15692.365970,-12731.542202,-72932.291410
1746.678528,15248.242405,-30644.525999,-72932.291410
1746.681081,8882.471304,2368.659014,-74924.139704
1746.683634,-1332.370696,-2072.576638,-76762.768900
1746.686187,592.164754,-5625.565159,-75690.235202
1746.688740,12287.418637,-4293.194464,-73391.948708
1746.691293,-6365.771101,17764.942608,-74311.263306
1746.693846,-13619.789333,6513.812290,-77222.426198
1746.696283,-11251.130318,7402.059420,-76303.111601
1746.698720,24130.713709,-148.041188,-73238.729609
1746.701158,4737.318029,2664.741391,-75843.454302
1746.703595,-21021.848753,10362.883188,-77222.426198
1746.706033,1184.329507,8142.265362,-74004.825107
1746.708470,32717.102636,-2072.576638,-71246.881314
1746.710907,8438.347739,-12731.542202,-75537.016103
1746.713345,-15692.365970,5033.400406,-75690.235202
1746.715782,12731.542202,10066.800811,-73698.386908
1746.718219,-1924.535449,2516.700203,-76609.549800
1746.720657,-1924.535449,6809.894666,-77069.207099
1746.723094,11843.295072,6661.853478,-71093.662214
1746.725532,14804.118840,8290.306550,-73698.386908
1746.727969,-13915.871710,5773.606348,-79520.712692
1746.730406,-18949.272115,10066.800811,-77528.864398
1746.732844,9770.718434,15988.448347,-73238.729609
1746.735281,15100.201217,13915.871710,-73238.729609
1746.737719,5477.523971,-2960.823768,-74617.701505
1746.740156,-11251.130318,-1332.370696,-74770.920605
1746.742593,8734.430116,7105.977043,-73698.386908
1746.745031,20429.683999,-2812.782580,-74770.920605
1746.747468,-1480.411884,6365.771101,-76762.768900
1746.749906,-9030.512492,-9622.677246,-75537.016103
1746.752343,11843.295072,10066.800811,-72779.072310
1746.754780,18357.107362,-26351.331535,-72166.195912
1746.757218,14211.954086,-1184.329507,-73391.948708
1746.759655,-5477.523971,5329.482782,-78141.740796
1746.762093,-13471.748144,29164.114115,-78601.398095
1746.764530,-13767.830521,20281.642811,-75537.016103
1746.766967,18209.066173,-14211.954086,-71093.662214
1746.769405,31088.649564,4441.235652,-67722.842023
1746.771842,6513.812290,11399.171507,-76149.892501
1746.774280,-7402.059420,-740.205942,-78448.178995
1746.776717,14063.912898,-9770.718434,-74464.482406
1746.779154,18801.230927,1628.453072,-72625.853210
1746.781592,3108.864956,2072.576638,-74770.920605
1746.784029,-22206.178260,10658.965565,-77528.864398
1746.786466,6217.729913,14804.118840,-74464.482406
1746.788904,26647.413912,1480.411884,-72472.634111
1746.791341,11103.089130,444.123565,-73545.167808
1746.793818,-6513.812290,-5033.400406,-77528.864398
1746.796295,-3997.112087,8438.347739,-74617.701505
1746.798772,14508.036463,7254.018232,-71859.757712
1746.801249,15544.324782,-4293.194464,-74617.701505
