#time,accel_x,accel_y,accel_z
544.449751,5773.606348,740.205942,-73391.948708
544.452117,5773.606348,148.041188,-73698.386908
544.454483,2812.782580,1184.329507,-73698.386908
544.456850,2516.700203,1184.329507,-74617.701505
544.459216,148.041188,2812.782580,-75077.358804
544.461583,1036.288319,2960.823768,-74004.825107
544.463949,3701.029710,740.205942,-74617.701505
544.466315,-11843.295072,10362.883188,-76609.549800
544.468682,-19837.519246,25315.043216,-74158.044206
544.471048,44412.356520,5773.606348,-66650.308326
544.473414,27091.537477,-19837.519246,-72625.853210
544.475781,3108.864956,-17024.736666,-74770.920605
544.478147,-10362.883188,1036.288319,-73851.606007
544.480513,444.123565,13471.748144,-73238.729609
544.482880,-6661.853478,-6661.853478,-77528.864398
544.485246,7105.977043,6957.935855,-76303.111601
544.487612,-2812.782580,-296.082377,-73851.606007
544.489979,12583.501014,10362.883188,-73085.510509
544.492345,-1776.494261,1184.329507,-73851.606007
544.494711,-2960.823768,-296.082377,-75077.358804
544.497078,12583.501014,-11103.089130,-75996.673402
544.499444,1332.370696,13323.706956,-74617.701505
544.501810,3997.112087,-148.041188,-75537.016103
544.504177,-4293.194464,-3849.070898,-75537.016103
544.506543,18801.230927,2516.700203,-71400.100414
544.508909,4441.235652,11695.253884,-73851.606007
544.511353,7105.977043,296.082377,-75537.016103
544.513797,7994.224174,-9178.553681,-75690.235202
544.516241,2812.782580,-4145.153275,-76915.987999
544.518685,1332.370696,5033.400406,-72932.291410
544.521128,11251.130318,12583.501014,-70940.443115
544.523572,34937.720462,-16284.530724,-69408.252119
544.526016,4441.235652,-22354.219448,-78907.836294
544.528460,-41747.615129,11399.171507,-82278.656485
544.530904,-14952.160028,23094.425390,-74158.044206
544.533347,34937.720462,16580.613101,-62666.611736
544.535791,82458.941939,-29756.278868,-64658.460031
544.538235,-40119.162056,-16580.613101,-85649.476676
544.540679,-33901.432144,1628.453072,-83810.847481
544.543123,12879.583391,25018.960840,-70940.443115
544.545566,46929.056723,12583.501014,-66037.431928
544.548010,19837.519246,-16876.695478,-73238.729609
544.550454,-18653.189738,0.000000,-78141.740796
544.552898,-23834.631332,5329.482782,-77682.083497
544.555342,23686.590144,2812.782580,-72472.634111
544.557785,14804.118840,-5033.400406,-74158.044206
544.560229,8290.306550,8734.430116,-74311.263306
544.562673,-19097.313304,5329.482782,-77835.302597
544.565117,12583.501014,-10658.965565,-74924.139704
544.567561,11399.171507,-3701.029710,-73238.729609
544.570004,-1480.411884,15544.324782,-75383.797003
544.572448,-1480.411884,3849.070898,-77222.426198
544.574892,740.205942,13175.665768,-75537.016103
544.577336,11251.130318,-3701.029710,-72319.415011
544.579780,592.164754,-8290.306550,-73545.167808
544.582223,-2220.617826,9326.594869,-72779.072310
544.584667,-2072.576638,-888.247130,-75077.358804
544.587111,-4885.359217,296.082377,-75537.016103
544.589555,-10807.006753,2664.741391,-76915.987999
544.591999,5033.400406,8142.265362,-72472.634111
544.594442,11991.336260,-3997.112087,-73085.510509
544.596886,-15988.448347,-888.247130,-74924.139704
544.599330,4145.153275,3849.070898,-74158.044206
544.601774,7254.018232,4589.276840,-73238.729609
544.604218,16728.654289,3701.029710,-73085.510509
544.606661,-19689.478057,7105.977043,-76609.549800
544.609154,-8882.471304,4441.235652,-75843.454302
544.611650,-2664.741391,-5625.565159,-74924.139704
544.614146,13767.830521,2516.700203,-73238.729609
544.616642,-1480.411884,12731.542202,-72932.291410
544.619138,13323.706956,-592.164754,-71706.538613
544.621634,15544.324782,-5921.647536,-75077.358804
544.624130,-15248.242405,18061.024985,-72472.634111
544.626626,53886.992578,-18209.066173,-68335.718422
544.629122,1924.535449,-1184.329507,-75383.797003
544.631618,-5625.565159,2960.823768,-76915.987999
544.634114,10214.842000,-1776.494261,-74158.044206
544.636610,-3256.906145,592.164754,-74617.701505
544.639106,-5181.441594,-3108.864956,-75383.797003
544.641602,-14211.954086,7402.059420,-75996.673402
544.644098,23538.548956,-5773.606348,-72779.072310
544.646594,-3701.029710,-7105.977043,-76149.892501
544.649090,-6513.812290,9770.718434,-76609.549800
544.651586,-5477.523971,3256.906145,-75537.016103
544.654082,21910.095883,-1480.411884,-73085.510509
544.656578,-27831.743419,-7550.100608,-77375.645298
544.659074,9030.512492,14804.118840,-72779.072310
544.661570,9178.553681,-6069.688724,-72779.072310
544.664066,2220.617826,-2072.576638,-72779.072310
544.666562,-148.041188,-5181.441594,-76303.111601
544.669058,-33309.267390,592.164754,-79214.274493
544.671554,16580.613101,5921.647536,-72625.853210
544.674050,14952.160028,10066.800811,-71553.319513
544.676546,3108.864956,-8586.388927,-77375.645298
544.679042,740.205942,3108.864956,-74924.139704
544.681538,10362.883188,-3256.906145,-73545.167808
544.684034,7105.977043,8142.265362,-74158.044206
544.686530,-9474.636058,3997.112087,-74617.701505
544.689026,5773.606348,5329.482782,-74004.825107
544.691521,3997.112087,-3404.947333,-75537.016103
544.694017,8290.306550,1924.535449,-73851.606007
544.696513,444.123565,-3256.906145,-76149.892501
544.699009,-3997.112087,1332.370696,-74924.139704
544.701505,13619.789333,2960.823768,-72472.634111
544.704001,13471.748144,8586.388927,-73545.167808
544.706497,5921.647536,-11843.295072,-77375.645298
544.709024,-19245.354492,9622.677246,-79061.055394
544.711552,6809.894666,11695.253884,-73545.167808
544.714079,17764.942608,10066.800811,-68948.594820
544.716606,59512.557737,-16580.613101,-68029.280222
544.719133,-3701.029710,-13619.789333,-79061.055394
544.721660,-28127.825796,3701.029710,-79673.931792
544.724187,5181.441594,12731.542202,-70021.128517
544.726714,41747.615129,20429.683999,-65271.336430
544.729241,45004.521274,-16876.695478,-67722.842023
544.731768,2812.782580,-12879.583391,-77528.864398
544.734295,-19985.560434,-5033.400406,-79367.493593
544.736822,26499.372724,14211.954086,-71706.538613
544.739349,26203.290347,-9326.594869,-71246.881314
544.741876,-740.205942,3552.988522,-74617.701505
544.744404,-26795.455100,-5773.606348,-78754.617194
544.746931,6217.729913,7698.141797,-74004.825107
544.749458,39082.873738,-1332.370696,-69714.690318
544.751985,3256.906145,7254.018232,-75230.577904
544.754512,-15692.365970,-6365.771101,-75537.016103
544.757039,-15692.365970,-6365.771101,-77375.645298
544.759566,9030.512492,-1332.370696,-74617.701505
544.762093,12287.418637,6217.729913,-72625.853210
544.764620,13323.706956,11251.130318,-74158.044206
544.767147,-3256.906145,-3849.070898,-75996.673402
544.769674,-4737.318029,-9474.636058,-74770.920605
